window_id,src_ip,count,freq
0,59.166.0.0,4,0.06060606060606061
0,59.166.0.1,11,0.16666666666666666
0,59.166.0.2,9,0.13636363636363635
0,59.166.0.3,4,0.06060606060606061
0,59.166.0.4,6,0.09090909090909091
0,59.166.0.5,4,0.06060606060606061
0,59.166.0.6,9,0.13636363636363635
0,59.166.0.7,5,0.07575757575757576
0,59.166.0.8,9,0.13636363636363635
0,59.166.0.9,5,0.07575757575757576
1,149.171.126.12,1,0.015151515151515152
1,149.171.126.14,1,0.015151515151515152
1,59.166.0.0,7,0.10606060606060606
1,59.166.0.1,6,0.09090909090909091
1,59.166.0.2,4,0.06060606060606061
1,59.166.0.3,5,0.07575757575757576
1,59.166.0.4,11,0.16666666666666666
1,59.166.0.5,8,0.12121212121212122
1,59.166.0.6,9,0.13636363636363635
1,59.166.0.7,4,0.06060606060606061
1,59.166.0.8,4,0.06060606060606061
1,59.166.0.9,6,0.09090909090909091
2,149.171.126.18,1,0.015151515151515152
2,59.166.0.0,8,0.12121212121212122
2,59.166.0.1,12,0.18181818181818182
2,59.166.0.2,8,0.12121212121212122
2,59.166.0.3,7,0.10606060606060606
2,59.166.0.4,4,0.06060606060606061
2,59.166.0.5,9,0.13636363636363635
2,59.166.0.6,7,0.10606060606060606
2,59.166.0.7,1,0.015151515151515152
2,59.166.0.8,7,0.10606060606060606
2,59.166.0.9,2,0.030303030303030304
3,59.166.0.0,5,0.07575757575757576
3,59.166.0.1,14,0.21212121212121213
3,59.166.0.2,5,0.07575757575757576
3,59.166.0.3,7,0.10606060606060606
3,59.166.0.4,8,0.12121212121212122
3,59.166.0.5,8,0.12121212121212122
3,59.166.0.6,4,0.06060606060606061
3,59.166.0.7,4,0.06060606060606061
3,59.166.0.8,7,0.10606060606060606
3,59.166.0.9,4,0.06060606060606061
4,59.166.0.0,7,0.10606060606060606
4,59.166.0.1,4,0.06060606060606061
4,59.166.0.2,7,0.10606060606060606
4,59.166.0.3,8,0.12121212121212122
4,59.166.0.4,6,0.09090909090909091
4,59.166.0.5,10,0.15151515151515152
4,59.166.0.6,7,0.10606060606060606
4,59.166.0.7,4,0.06060606060606061
4,59.166.0.8,8,0.12121212121212122
4,59.166.0.9,5,0.07575757575757576
5,59.166.0.0,4,0.06060606060606061
5,59.166.0.1,5,0.07575757575757576
5,59.166.0.2,8,0.12121212121212122
5,59.166.0.3,7,0.10606060606060606
5,59.166.0.4,9,0.13636363636363635
5,59.166.0.5,6,0.09090909090909091
5,59.166.0.6,7,0.10606060606060606
5,59.166.0.7,6,0.09090909090909091
5,59.166.0.8,6,0.09090909090909091
5,59.166.0.9,8,0.12121212121212122
6,59.166.0.0,7,0.10606060606060606
6,59.166.0.1,2,0.030303030303030304
6,59.166.0.2,8,0.12121212121212122
6,59.166.0.3,5,0.07575757575757576
6,59.166.0.4,7,0.10606060606060606
6,59.166.0.5,7,0.10606060606060606
6,59.166.0.6,6,0.09090909090909091
6,59.166.0.7,7,0.10606060606060606
6,59.166.0.8,7,0.10606060606060606
6,59.166.0.9,10,0.15151515151515152
7,149.171.126.14,1,0.015151515151515152
7,59.166.0.0,5,0.07575757575757576
7,59.166.0.1,5,0.07575757575757576
7,59.166.0.2,5,0.07575757575757576
7,59.166.0.3,11,0.16666666666666666
7,59.166.0.4,5,0.07575757575757576
7,59.166.0.5,5,0.07575757575757576
7,59.166.0.6,4,0.06060606060606061
7,59.166.0.7,8,0.12121212121212122
7,59.166.0.8,7,0.10606060606060606
7,59.166.0.9,10,0.15151515151515152
8,149.171.126.10,1,0.015151515151515152
8,59.166.0.0,5,0.07575757575757576
8,59.166.0.1,7,0.10606060606060606
8,59.166.0.2,8,0.12121212121212122
8,59.166.0.3,10,0.15151515151515152
8,59.166.0.4,6,0.09090909090909091
8,59.166.0.5,11,0.16666666666666666
8,59.166.0.6,3,0.045454545454545456
8,59.166.0.7,2,0.030303030303030304
8,59.166.0.8,7,0.10606060606060606
8,59.166.0.9,6,0.09090909090909091
9,149.171.126.10,2,0.030303030303030304
9,59.166.0.0,11,0.16666666666666666
9,59.166.0.1,3,0.045454545454545456
9,59.166.0.2,4,0.06060606060606061
9,59.166.0.3,6,0.09090909090909091
9,59.166.0.4,6,0.09090909090909091
9,59.166.0.5,9,0.13636363636363635
9,59.166.0.6,10,0.15151515151515152
9,59.166.0.7,8,0.12121212121212122
9,59.166.0.8,6,0.09090909090909091
9,59.166.0.9,1,0.015151515151515152
