dataset,dataset_id,split,kind,window_id,src_ip,flow_count,window_flow_count,flow_fraction,true_malicious,window_has_malicious,label_available,unique_dst_ip_count,top_dst_ip_share,window_unique_dst_ip_count,unique_dst_ip_ratio_to_window,unique_dst_port_count,top_dst_port_share,window_unique_dst_port_count,unique_dst_port_ratio_to_window,unique_src_port_count,total_packets_mean,total_packets_sum,total_packets_std,window_total_packets_mean,window_total_packets_sum,total_packets_mean_ratio_to_window,total_packets_sum_fraction_of_window,total_bytes_mean,total_bytes_sum,total_bytes_std,window_total_bytes_mean,window_total_bytes_sum,total_bytes_mean_ratio_to_window,total_bytes_sum_fraction_of_window,packets_per_second_mean,packets_per_second_std,window_packets_per_second_mean,window_packets_per_second_sum,packets_per_second_mean_ratio_to_window,duration_mean,duration_std,window_duration_mean,window_duration_sum,duration_mean_ratio_to_window,packet_size_avg_mean,packet_size_avg_std,window_packet_size_avg_mean,window_packet_size_avg_sum,packet_size_avg_mean_ratio_to_window,packet_size_std_mean,packet_size_std_std,window_packet_size_std_mean,window_packet_size_std_sum,packet_size_std_mean_ratio_to_window,outbound_byte_ratio_mean,outbound_byte_ratio_std,window_outbound_byte_ratio_mean,window_outbound_byte_ratio_sum,outbound_byte_ratio_mean_ratio_to_window,flow_count_rank_desc,flow_count_rank_pct,total_packets_sum_rank_desc,total_packets_sum_rank_pct,total_bytes_sum_rank_desc,total_bytes_sum_rank_pct,packets_per_second_mean_rank_desc,packets_per_second_mean_rank_pct,preserved_by_label_for_eval
attack_train_01,NF-UNSW-NB15-v3-Benign,train,attack,0,59.166.0.1,686,6666,0.10291029102910292,0,0,1,10,0.11224489795918367,25,0.4,244,0.21720116618075802,2121,0.11504007543611504,675,3.6476984480716284,2502.321135377137,1.3688901805661844,3.5516596269848195,23675.363073480807,1.0270405475674314,0.10569304164885358,8.668828212883499,5946.816154038081,2.071848733039058,8.522486372628636,56810.89415994249,1.0171712612794388,0.10467739052470673,6.9059577822155065,1.9045091176528364,6.849434224224528,45658.328538680704,1.008252295903663,0.2522660580106093,0.4818084744909197,0.24491843887959067,1632.6263135713514,1.0300002693330532,5.091710335256257,0.8575137425359279,5.050494366879425,33666.595449618246,1.008160779001581,3.605853924493415,2.826427340854115,3.5137971779663513,23422.971988323698,1.0261986511641354,0.6665421982507289,0.23888627373374288,0.6425853457845784,4283.473915,1.0372819775976994,1.0,1.0,1.0,1.0,1.0,1.0,9.0,0.6296296296296297,0
attack_train_01,NF-UNSW-NB15-v3-Benign,train,attack,0,59.166.0.4,683,6666,0.10246024602460246,0,0,1,10,0.13323572474377746,25,0.4,234,0.19912152269399708,2121,0.11032531824611033,677,3.449885860437025,2356.272042678488,1.32196946114649,3.5516596269848195,23675.363073480807,0.9713447297216948,0.09952421998198584,8.384345777426086,5726.508165982017,1.9804374488133003,8.522486372628636,56810.89415994249,0.9837910453402177,0.10079947254235955,6.86155996227207,1.951458189103427,6.849434224224528,45658.328538680704,1.001770326957029,0.2388264733129853,0.43404652075731176,0.24491843887959067,1632.6263135713514,0.9751265539888552,5.015034477093449,0.8105283083834891,5.050494366879425,33666.595449618246,0.9929789269702947,3.4112083046373494,2.8213724463502134,3.5137971779663513,23422.971988323698,0.9708039855082425,0.6404410541727672,0.23442458459244142,0.6425853457845784,4283.473915,0.9966630244124334,2.0,0.9629629629629629,4.0,0.8888888888888888,4.0,0.8888888888888888,11.0,0.5555555555555556,0
attack_train_01,NF-UNSW-NB15-v3-Benign,train,attack,0,59.166.0.3,676,6666,0.10141014101410141,0,0,1,10,0.11834319526627218,25,0.4,230,0.2440828402366864,2121,0.10843941537010844,669,3.6281343226883775,2452.618802137343,1.2900672456325264,3.5516596269848195,23675.363073480807,1.0215321015343133,0.10359371446702606,8.583786355694977,5802.639576449805,1.9397878485830597,8.522486372628636,56810.89415994249,1.0071927346534946,0.10213955724958931,6.7995091991431735,1.9315401642705012,6.849434224224528,45658.328538680704,0.9927110731416642,0.25201012127351086,0.4326058344716766,0.24491843887959067,1632.6263135713514,1.0289552817107686,5.024519477480653,0.8295561692009283,5.050494366879425,33666.595449618246,0.9948569610196751,3.490576167503737,2.806976734070926,3.5137971779663513,23422.971988323698,0.9933914767169192,0.6348045961538461,0.24282600169664767,0.6425853457845784,4283.473915,0.9878914922635962,3.0,0.9259259259259259,2.0,0.9629629629629629,2.0,0.9629629629629629,14.0,0.4444444444444444,0
attack_train_01,NF-UNSW-NB15-v3-Benign,train,attack,0,59.166.0.5,665,6666,0.09975997599759975,0,0,1,10,0.12030075187969924,25,0.4,232,0.21654135338345865,2121,0.10938236680810938,658,3.604941577575799,2397.2861490879063,1.2972341247799366,3.5516596269848195,23675.363073480807,1.0150019867292894,0.10125657383362999,8.634698112813712,5742.074245021118,1.9890565074047102,8.522486372628636,56810.89415994249,1.013166549675628,0.10107347067721159,6.814823777593419,1.9625851331079087,6.849434224224528,45658.328538680704,0.9949469626982179,0.24467918401898478,0.4255947814528457,0.24491843887959067,1632.6263135713514,0.9990231243441678,5.100397529640793,0.8485916524108892,5.050494366879425,33666.595449618246,1.0098808471282785,3.6205846921650298,2.83636581588079,3.5137971779663513,23422.971988323698,1.0303909158070652,0.6568874090225564,0.24412168011267277,0.6425853457845784,4283.473915,1.0222570641110957,4.0,0.8888888888888888,3.0,0.9259259259259259,3.0,0.9259259259259259,13.0,0.48148148148148145,0
attack_train_01,NF-UNSW-NB15-v3-Benign,train,attack,0,59.166.0.6,657,6666,0.09855985598559856,0,0,1,10,0.1187214611872146,25,0.4,185,0.2039573820395738,2121,0.08722300801508723,647,3.576840079213652,2349.9839320433694,1.3715907665962213,3.5516596269848195,23675.363073480807,1.0070897706631334,0.09925862276112792,8.543084575829882,5612.806566320232,2.0415043502583123,8.522486372628636,56810.89415994249,1.002416924158119,0.09879806768255088,6.760768675597657,1.9940720640274012,6.849434224224528,45658.328538680704,0.9870550551002758,0.2790801608677675,0.4621951055039685,0.24491843887959067,1632.6263135713514,1.1394820338740268,5.040741751626727,0.8347533502213621,5.050494366879425,33666.595449618246,0.9980689780951634,3.5280945150853094,2.780739215962028,3.5137971779663513,23422.971988323698,1.004068913598261,0.6511117640791476,0.22915380876778857,0.6425853457845784,4283.473915,1.013268927389184,5.0,0.8518518518518519,5.0,0.8518518518518519,5.0,0.8518518518518519,17.0,0.3333333333333333,0
attack_train_01,NF-UNSW-NB15-v3-Benign,train,attack,0,59.166.0.2,650,6666,0.09750975097509751,0,0,1,10,0.13076923076923078,25,0.4,224,0.22153846153846155,2121,0.10561056105610561,647,3.577807765079425,2325.5750473016265,1.3639104290058888,3.5516596269848195,23675.363073480807,1.0073622308556645,0.09822764027245455,8.515188708841702,5534.872660747106,2.034973204062033,8.522486372628636,56810.89415994249,0.9991437165789585,0.09742625499194765,6.925448308040904,1.9465632592371611,6.849434224224528,45658.328538680704,1.0110978631705865,0.24816318885615193,0.4371114832876878,0.24491843887959067,1632.6263135713514,1.0132482878439237,5.011777556662007,0.8270169487399284,5.050494366879425,33666.595449618246,0.9923340553607348,3.3969380163725242,2.8145936328259946,3.5137971779663513,23422.971988323698,0.9667427698085123,0.6299589538461539,0.23928925133516393,0.6425853457845784,4283.473915,0.9803506382128773,6.0,0.8148148148148148,7.0,0.7777777777777778,8.0,0.7407407407407407,5.0,0.8518518518518519,0
attack_train_01,NF-UNSW-NB15-v3-Benign,train,attack,0,59.166.0.8,649,6666,0.09735973597359736,0,0,1,10,0.12018489984591679,25,0.4,259,0.1941448382126348,2121,0.12211221122112212,641,3.6200777964019775,2349.4304898648834,1.2986835824961764,3.5516596269848195,23675.363073480807,1.0192637179805548,0.09923524647005401,8.63691169513372,5605.355690141785,1.9572780702976456,8.522486372628636,56810.89415994249,1.013426284009392,0.0986669154398583,6.850351010470357,1.875864050177068,6.849434224224528,45658.328538680704,1.0001338484633644,0.2208519880693453,0.3840847651326179,0.24491843887959067,1632.6263135713514,0.9017368764869632,5.087607476016375,0.8198582726192579,5.050494366879425,33666.595449618246,1.0073484111536355,3.7109784183794523,2.7725565921656736,3.5137971779663513,23422.971988323698,1.0561162840159208,0.6536839630200307,0.24625786590605298,0.6425853457845784,4283.473915,1.0172718181456524,7.0,0.7777777777777778,6.0,0.8148148148148148,6.0,0.8148148148148148,12.0,0.5185185185185185,0
attack_train_01,NF-UNSW-NB15-v3-Benign,train,attack,0,59.166.0.0,646,6666,0.0969096909690969,0,0,1,10,0.11919504643962849,25,0.4,223,0.18885448916408668,2121,0.10513908533710514,640,3.5894662468423713,2318.7951954601717,1.299163821349766,3.5516596269848195,23675.363073480807,1.0106447756339894,0.09794127288622219,8.587047963012147,5547.232984105846,1.957926609362146,8.522486372628636,56810.89415994249,1.0075754407294637,0.09764382458914395,6.889275460245916,1.9594422957795476,6.849434224224528,45658.328538680704,1.0058167192671885,0.23464536665247027,0.40827382034429394,0.24491843887959067,1632.6263135713514,0.958055129396889,5.069276781921437,0.8159662439335025,5.050494366879425,33666.595449618246,1.003718926045178,3.6627051924317526,2.7647480182256303,3.5137971779663513,23422.971988323698,1.0423780904029252,0.6595615634674923,0.22982859754398266,0.6425853457845784,4283.473915,1.026418619400955,8.0,0.7407407407407407,8.0,0.7407407407407407,7.0,0.7777777777777778,10.0,0.5925925925925926,0
attack_train_01,NF-UNSW-NB15-v3-Benign,train,attack,0,59.166.0.9,638,6666,0.09570957095709572,0,0,1,10,0.1206896551724138,25,0.4,225,0.2084639498432602,2121,0.10608203677510608,637,3.556741592403855,2269.2011359536596,1.3329798192437703,3.5516596269848195,23675.363073480807,1.0014308706218422,0.09584651897040734,8.533245729989735,5444.210775733451,2.0161621441642095,8.522486372628636,56810.89415994249,1.0012624669481027,0.09583040112704612,6.785634828968794,1.9483216575550277,6.849434224224528,45658.328538680704,0.9906854503354315,0.26357340078527963,0.49913001900048165,0.24491843887959067,1632.6263135713514,1.0761680581953257,5.050788502343846,0.8236173404303968,5.050494366879425,33666.595449618246,1.0000582389451516,3.544304562865718,2.807511832592502,3.5137971779663513,23422.971988323698,1.0086821701294162,0.6557440579937304,0.2342091185627529,0.6425853457845784,4283.473915,1.0204777657870265,9.0,0.7037037037037037,9.0,0.7037037037037037,9.0,0.7037037037037037,16.0,0.37037037037037035,0
attack_train_01,NF-UNSW-NB15-v3-Benign,train,attack,0,59.166.0.7,624,6666,0.09360936093609361,0,0,1,10,0.1282051282051282,25,0.4,232,0.20833333333333334,2121,0.10938236680810938,617,3.586854846129442,2238.197423984772,1.3123261434669318,3.5516596269848195,23675.363073480807,1.0099095135348037,0.09453698416527417,8.54602500254528,5332.719601588255,1.9690497715388504,8.522486372628636,56810.89415994249,1.0027619439782551,0.09386790474683937,6.950422581072744,1.8761839107176856,6.849434224224528,45658.328538680704,1.014744043601594,0.21730848505091444,0.41660175347668665,0.24491843887959067,1632.6263135713514,0.8872687823955544,5.031680843377861,0.8146199616693444,5.050494366879425,33666.595449618246,0.9962749144668012,3.5627844885581967,2.7806240617452898,3.5137971779663513,23422.971988323698,1.0139414166813685,0.6626509006410257,0.22727102992274972,0.6425853457845784,4283.473915,1.031226287664478,10.0,0.6666666666666666,10.0,0.6666666666666666,10.0,0.6666666666666666,4.0,0.8888888888888888,0
